COMENTARIOS;ETIQUETAS;COD CLIENTE;FECHA;
No me deja seleccionar mÃ¡s de una opciÃ³n, hay muchos puntos a destacar sobre el servicio, facturaciÃ³n y bonificaciones mÃ¡s que nada. Algunos camioneros problemÃ¡ticos tambiÃ©n.;Negativo;404366;Mayo;
Nada ,en general todo muy bien;Positivo;403933;Mayo;
DesearÃ­a tener un dÃ­a mas de entrega;Negativo;716168;16/2/22;
Los mÃ¡rgenes de ganancia son muy bajos;Negativo;178889;Noviembre;
Hace 3 aÃ±os que no me pagan las puertas;Negativo;463606;Abril;
PÃ©simo servicio;Negativo;123569;Mayo;
SerÃ­a muy bueno que el margen fuera un poco mÃ¡s ya que la ganancia es poca;Negativo;322255;Julio;
Faltantes de mercaderÃ­a;Negativo;463606;Abril;
Hola a veces consigo mejores precios en mi distribuidora que cin ustedes por eso bajamos las compras y no me alludaron con las heladeras;Negativo;10277;Mayo;
Me parece que esta bien hacer los pedidos a una persona. No mediante aplicaciÃ³n. Dar fuentes de trabajo y mejorar relaciÃ³n cliente vendedor. Enterarse de todas las promos sin tener que ver en una aplicaciÃ³n;Negativo;178889;Noviembre;
No cumplen con las bonificaciones;Negativo;403933;Mayo;
Ninguno;Neutro;403933;Mayo;
Si quÃ© traigan Las listas de precios parÃ¡ Las heladas;Negativo;322255;Julio;
Que me pudieran agregar un dia mas de entregas;Negativo;123569;Mayo;
Todo bien sin quejas...;Neutro;322255;Julio;
En tema precios por ej hoy dia el macro vende los refrescos de 500cc a 36$ y ustedes a 42$. No pretendemos tener el costo del Macro porque el volumen no se compara, pero tampoco puede ser que el macro venda al publico a un 15% menos que nuestro costo;Negativo;140999;Marzo;
Me lo tienen que llevar a mi domicilio particular porque no suben escalera, yo lo tengo que trasladar hasta el comercio. Es una complicaciÃ³n todas las semanas...;Negativo;178889;Noviembre;
Concientizar un poco al personal de entrega<br/>En el Ã¡mbito de respuesta profesional hacia al cliente cuando hay confusiÃ³n con entrega y fallas en el sistema con la aplicaciÃ³n en cuanto al pago... Pero todos bien Gracias;Negativo;750614;7/1/22;
SerÃ­a mÃ¡s fÃ¡cil poder utilizar tarjeta de dÃ©bito.;Negativo;322255;Julio;
Tengo 4 aÃ±os vendiendo sus productos y escribieron mal la direcciÃ³n de mi comercio y todavÃ­a no han podido modificarla;Negativo;322255;Julio;
Hace 2 meses que espero cambio de productos vencidos y segÃºn vendedor hasta el mes que viene no hay presupuesto...cambian los precios y no mandan stickers con los nuevos .tenemos que improvisar con listas caseras ..;Negativo;463606;Abril;
Los cambio y devoluciones hacen q uno comprÃ© menos;Negativo;178889;Noviembre;
Quisiera volver a lo de antes, atendida por el vendedor con las mismas promociÃ³nes,.;Negativo;123569;Mayo;
Tanto el vendedor como los muchachos del camiÃ³n son notables y siempre estÃ¡n con buena voluntad;Positivo;322255;Julio;
Desde el comienzo quedaron en traerme una heladera para refrescos y nunca llego;Negativo;750614;7/1/22;
La atenciÃ³n del vendedor q viene a levantar el pedido muy hamable;Positivo;10277;Mayo;
Hace 2 aÃ±os que me falla la cartelera de Pepsi, estoy en la 2 esquina mÃ¡s transitada del PaÃ­s, nadie me lo soluciona.Hace 4 aÃ±os que estoy pidiendo 4 mesas y 16 sillas. Hace 4 aÃ±os que me mienten diciÃ©ndome que no hay. Lamentable;Negativo;463606;Abril;
Prefiero el mano a mano con el preventista y no una frÃ­a y lejana aplicaciÃ³n, disponer del tiempo y recordar que se debe hacer el pedido antes de determinada ahora tiendo que dejar todo lo sÃ© este haciendo provoca que en varias oportunidades no haya realizado ningÃºn pedido;Negativo;123569;Mayo;
Todo bien;Positivo;322255;Julio;
No<br/><br/><br/><br/><br/>;Neutro;123569;Mayo;
DeberÃ­an mejorarse los mÃ¡rgenes. Son Ã­nfimos y no estÃ¡n adaptados a estos tiempos. DeberÃ­an rondar en el 30% de rentabilidad mÃ­nimo;Negativo;750614;7/1/22;
No gracias;Neutro;403933;Mayo;
Los precios son mÃ¡s alto que los que venden en las distribuidora. Deberia se mejor precio acÃ¡ que es compra directa.;Negativo;178889;Noviembre;
El servicio es excelente;Positivo;302855;Marzo;
Todo es un desastre , el comerciante siempre pierde con fnc !!! Y de ahora de siempre;Negativo;322255;Julio;
Buen servicio;Positivo;750614;7/1/22;
Los precios en autoadecibos nunca llegan;Negativo;178889;Noviembre;
Mayor cantidad de promociÃ³n para evitar recurrir a distribuidores que venden mÃ¡s econÃ³micos.<br/>Habilitarme la opciÃ³n de cancelar y/o modificar mis pedidos sin recurrir al vendedor.<br/>Habilitarme la opciÃ³n de pago a crÃ©dito.;Negativo;178889;Noviembre;
1. A veces se obtienen mejores precios por productos de FNC<br/>2. Hoy hay una importante cantidad de ventas por post .y seguramente un crÃ©dito blando (menos de una semana) facilitarÃ­a las compras.<br/>;Negativo;747735;25/6/22;
estoy muy conforme.;Positivo;463606;Abril;
Materiales de apoyo y que los mayoristas tienen mejores precios que fnc;Negativo;178889;Noviembre;
Muy conforme en general;Positivo;403933;Mayo;
Los cambios;Neutro;178889;Noviembre;
El poco mÃ¡rgen de ganancia de los productos principalmente refrescos y si todavÃ­a le sumamos que los mayoristas venden al pÃºblico por menor. y a precios menores al del camiÃ³n se hace difÃ­cil gracias;Negativo;302855;Marzo;
Los cambios o devoluciones de productos en mal estado DEBE SER MUCHO MAS RÃPIDO Y EFICIENTE, SIN TANTA ESPERA.;Negativo;178889;Noviembre;
Con respecto a los items de arriba no tengo comentarios, sÃ­ con la aplicaciÃ³n me a pasado varias veces quÃ© no me permite hacer pedidos, allÃ­ creÃ³ quÃ© habrÃ­a que mejorar el servicio.<br/>;Negativo;750614;7/1/22;
La entrega de los envases en los casilleros  de cervezas cada vez son peores,vienen muy sucios llenos de tierra y los tenemos que lavar ya que con un trapo no sale ,algunas fundas de cervezas rotas o abolladas y hay que lavarlas tambiÃ©n si vienen en ese estado. En alguna oportunidad nos ha pasado la falta de acreditaciÃ³n de puntos y la verdad entrar a reclamar no estÃ¡ bueno y tampoco tenemos tiempo. Muchas gracias Katrin Furtado por Pepe Botella Ltda cliente 739784;Negativo;10277;Mayo;
"Precios en \""mayoristas\"" ya sea All in One y todos sus otros secuaces, sale mÃ¡s barato comprar ahÃ­ q directo por aplicaciÃ³n o al vendedor";Negativo;123569;Mayo;
Muy buen servicio mejorÃ³;Positivo;403933;Mayo;
Los precios son mÃ¡s econÃ³micos en el mayorista.  Mi pregunta es... por ?.  Se supone que comprando directamente deberÃ­a de favorecer al cliente.el resto,  me parece , excelente;Negativo;178889;Noviembre;
No aparecen todos los productos, algunos de ellos lo debemos pedir directamente<br/>;Negativo;403933;Mayo;
La aplicaciÃ³n es una verdadera porquerÃ­a. A parte de que pierden de vender. Porque un vendedor te vende y la app levanta pedido. Las notificaciones de modificaciÃ³n de pedido me saltÃ³ a las 4:00 de la madrugada. No te avisa que se modifica. Una verdadera porquerÃ­a. Gracias;Negativo;10277;Mayo;
Es todo impecable;Positivo;463606;Abril;
Nada;Neutro;403933;Mayo;
En los pedidos que hago por la aplicaciÃ³n no agregan bonificaciones;Negativo;140999;Marzo;
.;Neutro;748546;5/9/22;
Que hace aÃ±os que trabajo con FNC y nunca me dieron una heladera;Negativo;123569;Mayo;
No conocemos ni al Supervisor,lo llamamos no atiende ni contesta;Negativo;403933;Mayo;
Que los vendedores deberÃ­an visitar los comercio.y mÃ¡s cartelerÃ­a para promocionar mÃ¡s los productos.;Negativo;123569;Mayo;
Nada negativo que objetar;Neutro;403933;Mayo;
Me cambiaron de vendedor y la persona nueva, nisiquiera me manda un mensaje para ver si necesito algo. Tengo que consultarle cosas una y otra vez para que me responda. Y en cuanto a las entregas me bajaron las entregas de 2 veces x semana a 1 y nisiquiera estaba enterada xq mi vendedor no me aviso nada.;Negativo;178889;Noviembre;
Nunca me ofrecieron credito, y a su vez hace meses tengo la heladera rota, vino un tecnico, dijo q no tiene soluciÃ³n y no me han dado un frÃ­o nuevo.;Negativo;123569;Mayo;
Ninguno<br/>;Neutro;403933;Mayo;
Los q reparten , varias veces crean conflictos;Negativo;178889;Noviembre;
Supervisores cambian condiciones comerciales depende la necesidad de venta. Fechas de vencimiento cortas. Cambios NO son cargados. La relaciÃ³n es cordial y el trato es bueno. No respetan un plan comercial a largo plazo. Esperemos coolaboren.;Negativo;322255;Julio;
Cambian de vendedor muy seguido;Negativo;750614;7/1/22;
Cambios;Neutro;750614;7/1/22;
Los cambios hace tiempo que pedÃ­ que me cambiaran y todavÃ­a nada;Negativo;178889;Noviembre;
No me entregan los dÃ­as sabados;Negativo;404366;Mayo;
Si , que pongas servicio de pos , para que rl clientes que vive lejos de una red de cobranza no tenga que molestarte en salir solo a pagar las facturas.;Negativo;322255;Julio;
Falta material de difusiÃ³n. Por ejemplo cartelerÃ­a, Ãºtiles para las mesas como individuales u otros productos que ayuden a la visualizaciÃ³n de la marca y marketing;Negativo;463606;Abril;
No me acreditado los puntos  de un canje que  no vino;Negativo;404366;Mayo;
Todo bien por Ã©l Momento gracias;Positivo;322255;Julio;
Falta mucha mercaderÃ­a y principalmente la que tengo en oferta !!!;Negativo;463606;Abril;
El tener que hacer el pedido por la aplicaciÃ³n y si no es el dÃ­a de entrega tener que llamar para cambiar la fecha con el preventista, lo tendrÃ­a que dejar elejir el dÃ­a al comerciante, es perdida de tiempo ya que no es la Ãºnica empresa para atender. Gracias por dejar pasar comentarios.;Negativo;302855;Marzo;
Pudieran conseguir  una heladera  muchÃ­simas gracias;Negativo;123569;Mayo;
Complican al santo botÃ³n con los cartelitos cuando estÃ¡s haciendo el pedido;Negativo;750614;7/1/22;
SerÃ­a mejor que pasara el vendedor con mÃ¡s frecuencia;Negativo;322255;Julio;
Nunca me ofrecieron una heladera para mÃ­ negocio;Negativo;123569;Mayo;
No tienen cerveza barril!!!;Negativo;123569;Mayo;
Me cambiaron 3 ocaciones de vendedor en cuestion de 2 meses;Negativo;178889;Noviembre;
Falta de material de venta y atenciÃ³n mÃ¡s personalizada;Negativo;463606;Abril;
Teniendo la exclusividad con Pepsi, nunca logramos una mesa con sillas o toldo para nuestro local.;Negativo;322255;Julio;
Me gustarÃ­a poder pagar con dÃ©bito o crÃ©dito.;Negativo;178889;Noviembre;
Excelente .;Positivo;463606;Abril;
Hace ya 35 aÃ±os que comprÃ³ a FNC, y no tengo quejas. Si suma la posibilidad de las promociones y canjes por puntos que tiene BEES , mejor aÃºn.\nSaludos;Positivo;463606;Abril;
Excelente;Positivo;463606;Abril;
en realidad ,me cuesta mucho adaptarme a tanta tecnologÃ­a.Se ha perdido un poco el diÃ¡logo,  que para mÃ­ era muy importante y ayudaba a cerrar negocios mÃ¡s satisfactoriamente.;Negativo;140999;Marzo;
Muy probable;Positivo;403933;Mayo;
Buena;Positivo;750614;7/1/22;
EstarÃ­a bien que entregase algÃºn afiche, para la promociÃ³n de los productos, hace poco que trabajo con ustedes, y muchos clientes no saben que vendo sus productos, por falta de cartelera, aunque sea tamaÃ±o a4. Por lo demÃ¡s bien;Negativo;463606;Abril;
Bino el vendedor a venderme el refresco de 2 lts y sale mas barato en el mayorista. Son una verguensa;Negativo;750614;7/1/22;
Todo bien.!!\nPor las dudas tengo  esqueletos y botellas de cerveza Â¾ que discontinuaron, necesitarÃ­a cambiarlas por favor, o que se las lleven porque ocupa lugar,  muy amables.!!;Negativo;322255;Julio;
Perfecta. Reglas sencillas y claras. Muy bien su planificacion;Positivo;123569;Mayo;
Mejor servicios en ventas , , presencia impecable , entrega siempre en forma.. y por lejos los mejores productos;Positivo;178889;Noviembre;
Bien;Positivo;750614;7/1/22;
Siempre positiva la experiencia,  excelente trato con el vendedor y los camioneros.;Positivo;322255;Julio;
Buena experiencia;Positivo;750614;7/1/22;
Todo bien con los pedidos llegan en tiempo y forma;Positivo;322255;Julio;
Todo positivo;Positivo;322255;Julio;
Somos relativamente nuevos comerciantes, nuestra experiencia ha sido muy buena, excelente atenciÃ³n de los vendedores que se han presentado en nuestro local, y no hemos tenido nigÃºn inconveniente en cuanto a entregas de mercaderÃ­a;Positivo;322255;Julio;
Se alejan de los negocios y cada ves los mayorista abarcan todo. Es lamentable que los mayoristas tengan mejores precios...muy lamentable.....\nDa pena que los supervisores para llegar a sus nÃºmeros se bajen tanto los pantalones en precios.... Controlen mÃ¡s\nLa diferencia de precios en la calle;Negativo;322255;Julio;
Buen servicio y buena atenciÃ³n , solo falta mÃ¡s preocupaciÃ³n en el tema de cartelerÃ­a al menos con nosotros hace mucho tiempo que no nos ofrecen nada despuÃ©s con lo demÃ¡s exelente gracias.;Positivo;750614;7/1/22;
Es la senda vez que me cancelan un pedido por una supuesta deuda la cual no existe xq no debo nada. En plena ola de calor. Me dejan sin mercaderÃ­a x un problema de ustedes.;Negativo;463606;Abril;
Bien servicio bien el vendedor Ãºtil la aplicaciÃ³n y el servicio de entrega excelente;Positivo;750614;7/1/22;
A veces sobre todo en diciembre tienen retraso en las entregas y las bonificaciones casi nunca me llegan;Negativo;748007;16/2/23;
Me gustan los puntos bees;Positivo;178889;Noviembre;
Mala;Negativo;178889;Noviembre;
No estoy conforme con la distribuciÃ³n,;Negativo;403933;Mayo;
Precios mas competitivos. La app esta muy buena;Positivo;123569;Mayo;
Muy bien la entrega;Positivo;403933;Mayo;
La peor aplicaciÃ³n que he visto jamÃ¡s\nMÃ¡s fÃ¡cil y barato es hacer un formulario de Google y asociarlo con un excel;Negativo;178889;Noviembre;
Por ahora todo bien conforme;Positivo;123569;Mayo;
La experiencia es buena;Positivo;10277;Mayo;
Es todo mÃ¡s dinÃ¡mico y mejor;Positivo;463606;Abril;
El problema con fnc son los supervisores que hacen favoritismo con  las cadenas de sÃºper y regalan la mercaderÃ­a de tal manera que me es mÃ¡s rentable a veces comprarle a los super que a ustedes;Negativo;302855;Marzo;
Lo Ãºnico que quiero cuando van a trabajar con transferencia, son los Ãºnicos que no trabajan asi;Negativo;178889;Noviembre;
Muy buena experiencia. Siempre en tiempo y fecha los pedidos.;Positivo;403933;Mayo;
MÃ­ vendedor es el mejor....Marcos Ãlvez me busca soluciones para todo...y los transportistas tambiÃ©n son muy bien ..( t ...742007) la verdad se merecen un premio;Positivo;178889;Noviembre;
El servicio es bueno, se realiza la compra sin apuro y se sabe el importe de la compra.\nSolo falta el pago con giro o mercado pago;Negativo;302855;Marzo;
La relaciÃ³n humana es excelente, tanto como supervisores y promotores de venta.\nLa comunicaciÃ³n vÃ­a telefÃ³nica con la empresa se podrÃ­a mejorar pero es buena.\nLa relaciÃ³n con la app no es mala pero se puede mejorar. Creo que siempre las relaciones humanas son mucho mÃ¡s productivas para todos;Positivo;178889;Noviembre;
.;Neutro;749055;21/3/23;
Desde el aÃ±o pasado estoy esperando recibÃ­ promos pero no las sin costo;Negativo;750614;7/1/22;
Es necesario y fundamental contar con una compaÃ±Ã­a lÃ­der como Pepsi en un local como el mÃ­o. No he tenido malas experiencias.;Positivo;463606;Abril;
Echan a la gente que trabaja son una vergÃ¼enza. Le regalan las cosas a los mayoristas y a nosotros nos dejan sin la atenciÃ³n de los vendedores.;Negativo;302855;Marzo;
Los precios son mejores en el mayorista;Negativo;178889;Noviembre;
La aplicaciÃ³n no me resulta muy eficaz.;Negativo;10277;Mayo;
Buen trato con vendedor y repartidores\nBuenos productos\nY buenas bonificaciÃ³n\nBuena app;Positivo;750614;7/1/22;
Una excelente relaciÃ³n, personal y empresarial .;Positivo;322255;Julio;
La aplicaciÃ³n estÃ¡ buena;Positivo;10277;Mayo;
Ultima mente poco responsable;Negativo;322255;Julio;
?;Neutro;714033;10/4/23;
La aplicacion se tranca mucho;Negativo;10277;Mayo;
Hola!!..\nSoy clienta desde el aÃ±o 1989.\nY consumidora desde niÃ±a, en los aÃ±os de mÃ­ infancia los domingos en familia nunca faltaba la pepsi en la mesa. \nY ademÃ¡s de esos lindos recuerdos.\nFue y es una de las empresas que mÃ¡s me apoyaron en momentos difÃ­ciles. \nAdemÃ¡s de ofrecer un buen servicio y la calidad de los productos. \nGracias a esta encuesta me hicieron recordar!, cuando mi abuela materna descansa en paz. \nMe decÃ­a nietita te cambio un vasito de pepsi por un postresito que yo hacÃ­a cuÃ¡ndo era un niÃ±a!!..\nGracias!!..;Positivo;10277;Mayo;
Buen servicio, amable atenciÃ³n;Positivo;750614;7/1/22;
En la zona tenÃ­amos un vendedor muy comprometido con la empresa, hicieron una rotaciÃ³n y salimos mal beneficiados, por otra parte los comercios de barrio no tenemos el apoyo de frÃ­o y Nos es mÃ¡s rentable comprar en las grandes superficies que directamente a la Empresa.;Negativo;140999;Marzo;
El Ãºnico problema  que  tengo es que llegan a las 8 de la maÃ±ana y yo tengo plata despuÃ©s del mediodia;Negativo;302855;Marzo;
Nos entregan los pedidos en forma y tiempo correcto de acuerdo a lo que pedimos, pero a veces no tienen stock de la bebida que necesitamos;Negativo;123569;Mayo;
Es muy buena la atenciÃ³n del vendedor y los camiones. Me informÃ³ el vendedor que lo habÃ­an echado, asÃ­ que ahora estoy en el de la duda de si les voy a volver a comprar a ustedes. Echar gente y no hacerse cargo de los errores de la empresa de los precios de los mayoristas es de MALA Personas;Negativo;463606;Abril;
Las  inquietudes no son atendidas,  ej. Tengo una heladera en pÃ©simas condiciones hace aÃ±os y ahÃ­ sigue esperando.;Negativo;178889;Noviembre;
Muchas veces ha sucedido que no traen el pedido, habiÃ©ndose dado 4 horas de plazo de recepciÃ³n y en los dÃ­as regulares cuando se pide. Habiendo tenido que recurrir a distribuidoras particulares y perdiendo dinero en Ã©sas compras. No es un tema del vendedor, sino del camiÃ³n;Negativo;154195;Mayo;
Muy conforme con la entrega y con el vendedor !;Positivo;403933;Mayo;
Dificil;Negativo;716168;16/2/22;
Excelente muy buena atenciÃ³n;Positivo;463606;Abril;
Rapidez , entrega sin problemas y buen ambiente tanto con el vendedor como con los que vienen a hacer la entrega;Positivo;123569;Mayo;
Cumple las expectativas;Positivo;750614;7/1/22;
Muy buena atenciÃ³n;Positivo;403933;Mayo;
Los vendedores divinos pero la entrega deja mucho que desear. Por eso deje de comprar muchos de los productos. Ya que fallaron en las fiestas 2 aÃ±os seguidos.y siempre llega algo roto;Negativo;178889;Noviembre;
Hace aÃ±os que trabajamos, con FNC y es estamos muy conformes;Positivo;463606;Abril;
Los.pedidos llegan a tiempo.y las respuestas  son inmediatas;Positivo;178889;Noviembre;
Deficiente en algunos aspectos;Negativo;750614;7/1/22;
Muy buena;Positivo;403933;Mayo;
Buena atenciÃ³n;Positivo;750614;7/1/22;
A;Neutro;745749;18/5/23;
Excelente;Positivo;463606;Abril;
Buena ....;Positivo;750614;7/1/22;
None;Neutro;123569;Mayo;
The delivery driver is professional and helpful;Positivo;322255;Julio;
The business representative has a professional demeanor and is a partner;Positivo;322255;Julio;
There is always enough inventory of the products I want to order;Positivo;322255;Julio;
I am really satisfied with the items available to redeem using my Points;Positivo;10277;Mayo;
Entrega de pedidos en temporada, faltan productos;Negativo;463606;Abril;
Solicita mejor atención al público;Negativo;322255;Julio;
Solicita alternativa al método de toma de pedidos y disconforme con la forma en que se lleva adelante las promociones;Negativo;322255;Julio;
Disconformidad con la disponibilidad de los productos y la accesibilidad de objetos de publicidad;Negativo;302855;Marzo;
Faltan productos;Negativo;463606;Abril;
Faltante de productos;Negativo;463606;Abril;
No llega a comercio el vendedor, tiene que salir a buscar la mercaderia;Negativo;404366;Mayo;
TEMPORADA ALTA FALTA DE PRODUCTOS / CONTROLAR PROMOCIONES AL CLIENTE;Negativo;322255;Julio;
Falta de productos en temporada;Negativo;463606;Abril;
DIFERENCIAS DE PRECIOS EN LOS PRODUCTOS;Negativo;716168;16/2/22;
sombrilla ,mesas .entrega a puerta es cara  ;Negativo;322255;Julio;
inconforme con el stock del momento;Negativo;10277;Mayo;
inconforme al momento del ultimo pedido;Negativo;10277;Mayo;
en la zona de salto , cliente se queja que nunca paso supervisor y se queja de la atencion ;Negativo;140999;Marzo;
la falta de mercaderia, las fechas de entrega;Negativo;10277;Mayo;
Mayor margen al comercio.;Negativo;178889;Noviembre;
disconforme con toda la atencion de distribuidor;Negativo;302855;Marzo;
Inconforme con la calidad de la entrega a la hora ;Negativo;10277;Mayo;
Faltante de productos en la entrega en su local.;Negativo;463606;Abril;
"""Tiene todos los males del monopolio""";Negativo;405359;Enero;
Inconforme con los precios;Negativo;10277;Mayo;
disconforme con la disponibilidad de los productos;Negativo;749001;Febrero;
faltante de productos en verano, los márgenes de porcentaje son bajos.  ;Negativo;463606;Abril;
disconforme con el precio de los productos;Negativo;749001;Febrero;
Mas frecuencia en la entrega. ;Negativo;178889;Noviembre;
SOLICITO UNA HELADERA Y SE LA NEGARON. DESPUES CONFORME EN GENERAL. ;Negativo;322255;Julio;
AL ESTAR EN FRONTERA, LOS PRECIOS NO SON COMPETITIVOS,;Negativo;;;
Falta de stock (hace 6 meses no hay cerveza en rivera);Negativo;;;
disconforme con el distribuidor, y disconforme con la publicidad, solicta sillas, mesas;Negativo;;;
No se encuentra conforme con la provisión de heladera, ni con banderas etc POCA publicidad. ;Negativo;;;
Debería ser mas frecuente/flexible la entrega de pedidos.;Negativo;;;
disconforme con la ganancia. ;Negativo;;;
insatisfecho con el stock;Negativo;;;
inconforme con la disponibilidad de los productos en verano.;Negativo;;;
disconforme con la falta de stock;Negativo;;;
disconforme con la forma de realizar el pedido;Negativo;;;
solicita heladeras;Negativo;;;
demora en respuesta de reclamo, no entregan suficientes mesas, sillas y heladeras;Negativo;;;
disconforme con la falta de mercaderia;Negativo;;;
solicita algún supervisor ;Negativo;;;
en diciembre falta mercaderia ;Negativo;;;
demora en entrega de mercaderia ;Negativo;;;
disconforme con los precios;Negativo;;;
solicita merchadaising;Negativo;;;
pilsen recomienda, patricia no. solicita reconocimiento a los negociantes;Negativo;;;
cambia mucho la metodologia de trabajo y no esta de acuerdo, tiene que cambiar los precios constantemente;Negativo;;;
solicita mayor eficiencia ;Negativo;;;
disconforme con la falta de aviso ante la falta de entregas;Negativo;;;
disconforme con la poca rentabilidad;Negativo;;;
no tiene visitas de ningun supervisor ;Negativo;;;
no le dan ningun beneficio;Negativo;;;
demora en la entrega de pedidos;Negativo;;;
los dejaron enero sin cerveza;Negativo;;;
disconforme con la calidad del producto, con la refacción de las heladeras;Negativo;;;
disconforme con la falta de calidad de la empresa hoy en día;Negativo;;;
gente con experiencia como supervisores (son muy jovenes los supervisores);Negativo;;;
falta de respuesta por la falta de stock;Negativo;;;
solicita un crédito de 10 días para beneficiar a pequeños negocios;Negativo;;;
disconforme con el servicio y la calidad del marketing;Negativo;;;
"1º productos discontinuados
2º mala adeministracion 
3º desconforme con los cambios  supervisor

";Negativo;;;
mejorar la atencion a los clientes;Negativo;;;
informalidad por parte de la empresa;Negativo;;;
no le han dado una heladera ;Negativo;;;
recorren 40 km para conseguir la mercaderia;Negativo;;;
disconforme con el horario de los pedidos;Negativo;;;
tuvo problemas con el vendedor y hay falta de stock en varios productos;Negativo;;;
Inconforme con la experiencia de la entrega de pedidos;Negativo;;;
Disconforme con la distribuidora;Negativo;;;
Solicita bajar el precio, dado q en el mayorista es mas barata;Negativo;;;
Disconforme con la atención q reciben en el interior;Negativo;;;
Insatisfecho con los precios de los productos;Negativo;;;
inconforme con la hora de entrega;Negativo;;;
inconforme con los repartidores;Negativo;;;
inconforme respecto a los envases y el cambio de bebidas sin alcohol;Negativo;;;
falta de producto s  para el consumo en fechas claves ;Negativo;;;
FALTA PRODUCTO EN TIEMPO DE ZAFRA;Negativo;;;
que los vencimientos sean mas largos;Negativo;;;
en el mayorista los precios son  mas bajos;Negativo;;;
inconforme con la cantidad;Negativo;;;
inconforme con la empresa respecto a el retorno en mercadería del valor  de los envases al querer el reembolso;Negativo;;;
disconforme con la disponibilidad de los productos ;Negativo;;;
EN TEMPORADA EN LA ZONA DE CANELONES NO HAY CORONA,ESTELA DE A LITRO;Negativo;;;
inconforme con el cambio constante de los vendedores;Negativo;;;
disconforme con la diferencia de los precios con los camiones y los distribuidores;Negativo;;;
inconforme con la coordinación de toma y recibir los pedidos;Negativo;;;
VIVE EN UN PUEBLO EN TACUAREMBO. SOLICITA UNA SUCURSAL CERCANA O QUE TOMEN PEDIDO A COMERCIOS CHICOS.;Negativo;;;
disconforme con la aplicacion, no puede usarla y no cuenta con los beneficios de antes.;Negativo;;;
inconforme con que a veces no hay stock;Negativo;;;
inconforme con los precios ;Negativo;;;
Comunicación vía mail, de lista de precios, documentación .;Neutro;;;
los precios no son competitivos;Negativo;;;
inconforme con la capacidad de la atencion de los pedidos;Negativo;;;
Mejores precios para frontera. (Rivera);Negativo;;;
faltante de productos en cuento a las mesas sillas sombrillas;Negativo;;;
Inconforme con el horario general de la entrega de pedidos;Negativo;;;
Inconforme con el merchandising;Negativo;;;
inconforme con la disponibilidad de los productos;Negativo;;;
conforme en gral. ;Positivo;;;
Los precios no son competitivos con otras distribuidoras, o paginas web (mercado libre);Negativo;;;
Mejorar el stock para el interior en verano.;Negativo;;;
Falta de stock para el interior (Tacuarembó)  ;Negativo;;;
Implementar el pago con tarjeta. (En el interior);Neutro;;;
"inconforme con la atención de los pedidos
inconforme con la atención al cliente";Negativo;;;
inconforme con el estado en que llegan los productos;Negativo;;;
Facilitar la comunicación para la compra.. ;Negativo;;;
que los precios sean mas accesibles;Negativo;;;
la falta de mercaderia a la hora de hacer la entrega;Negativo;;;
Demora mucho el técnico de heladeras. ;Negativo;;;
el servicio tecnico demora en la resolucion. y en cuanto a los pedidos, le llevan mercaderia que no han pedido, o le brindan promociones con vencimiento a corto plazo;Negativo;;;
Los precios no se adaptan a su negocio;Negativo;;;
